TIGR00001;rpmI_bact: ribosomal protein L35
TIGR00878;purM: phosphoribosylformylglycinamidine cyclo-ligase
TIGR00879;SP: MFS transporter, sugar porter (SP) family
TIGR00880;2_A_01_02: multidrug resistance protein
TIGR00881;2A0104: phosphoglycerate transporter family protein
TIGR00882;2A0105: oligosaccharide:H+ symporter
TIGR00883;2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein
TIGR00884;guaA_Cterm: GMP synthase (glutamine-hydrolyzing), C-terminal domain
TIGR00885;fucP: L-fucose:H+ symporter permease
TIGR00886;2A0108: nitrite transporter
TIGR00887;2A0109: phosphate:H+ symporter
TIGR00888;guaA_Nterm: GMP synthase (glutamine-hydrolyzing), N-terminal domain
TIGR00889;2A0110: nucleoside transporter
TIGR00890;2A0111: oxalate/formate antiporter family transporter
TIGR00891;2A0112: MFS transporter, sialate:H+ symporter (SHS) family
TIGR00892;2A0113: monocarboxylate transporter
TIGR00893;2A0114: D-galactonate transporter
TIGR00894;2A0114euk: Na(+)-dependent inorganic phosphate cotransporter
TIGR00895;2A0115: MFS transporter, aromatic acid:H+ symporter (AAHS) family
TIGR00896;CynX: cyanate transporter
TIGR00897;2A0118: polyol permease
TIGR00898;2A0119: cation transport protein
TIGR00899;2A0120: sugar efflux transporter
TIGR00900;2A0121: H+ Antiporter protein
TIGR00901;2A0125: AmpG-like permease
TIGR00902;2A0127: MFS transporter, phenyl propionate permease (PPP) family
TIGR00903;2A0129: major facilitator 4 family protein
TIGR00904;mreB: cell shape determining protein, MreB/Mrl family
TIGR00905;2A0302: transporter, basic amino acid/polyamine antiporter (APA) family
TIGR00906;2A0303: cationic amino acid transport permease
TIGR00907;2A0304: amino acid permease
TIGR00908;2A0305: ethanolamine permease
TIGR00909;2A0306: amino acid transporter
TIGR00910;2A0307_GadC: glutamate:gamma-aminobutyrate antiporter
TIGR00911;2A0308: L-type amino acid transporter
TIGR00912;2A0309: spore germination protein (amino acid permease)
TIGR00913;2A0310: amino acid permease (yeast)
TIGR00914;2A0601: heavy metal efflux pump, CzcA family
TIGR00915;2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
TIGR00916;2A0604s01: protein-export membrane protein, SecD/SecF family
TIGR00917;2A060601: Niemann-Pick C type protein family
TIGR00918;2A060602: transmembrane receptor Patched
TIGR00920;2A060605: 3-hydroxy-3-methylglutaryl-coenzyme A reductase
TIGR00921;2A067: efflux transporter, putative, hydrophobe/amphiphile efflux-3 (HAE3) family
TIGR00922;nusG: transcription termination/antitermination factor NusG
TIGR00924;yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)
TIGR00926;2A1704: oligopeptide transporter, peptide:H+ symporter
TIGR00927;2A1904: K+-dependent Na+/Ca+ exchanger
TIGR00928;purB: adenylosuccinate lyase
TIGR00929;VirB4_CagE: type IV secretion/conjugal transfer ATPase, VirB4 family
TIGR00930;2a30: K-Cl cotransporter
TIGR00931;antiport_nhaC: Na+/H+ antiporter NhaC
TIGR00932;2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family
TIGR00933;2a38: potassium uptake protein, TrkH family
TIGR00934;2a38euk: potassium uptake protein, Trk family
TIGR00935;2a45: arsenite/antimonite efflux pump membrane protein
TIGR00936;ahcY: adenosylhomocysteinase
TIGR00937;2A51: chromate transporter, chromate ion transporter (CHR) family
TIGR00938;thrB_alt: homoserine kinase
TIGR00939;2a57: nucleoside Transporter
TIGR00940;2a6301s01: monovalent cation:proton antiporter
TIGR00941;2a6301s03: multicomponent Na+:H+ antiporter, MnhC subunit
TIGR00942;2a6301s05: multicomponent Na+:H+ antiporter
TIGR00943;2a6301s02: monovalent cation:proton antiporter
TIGR00944;2a6301s04: multicomponent K+:H+antiporter
TIGR00945;tatC: twin arginine-targeting protein translocase TatC
TIGR00946;2a69: auxin efflux carrier
TIGR00947;2A73: putative bicarbonate transporter, IctB family
TIGR00948;2a75: L-lysine exporter
TIGR00949;2A76: homoserine/Threonine efflux protein
TIGR00950;2A78: carboxylate/amino acid/amine transporter
TIGR00951;2A43: lysosomal Cystine Transporter
TIGR00952;S15_bact: ribosomal protein S15
TIGR00954;3a01203: peroxysomal long chain fatty acyl transporter
TIGR00955;3a01204: pigment precursor permease
TIGR00956;3a01205: pleiotropic drug resistance family protein
TIGR00957;MRP_assoc_pro: multi drug resistance-associated protein (MRP)
TIGR00958;3a01208: antigen peptide transporter 2
TIGR00959;ffh: signal recognition particle protein
TIGR00962;atpA: ATP synthase F1, alpha subunit
TIGR00963;secA: preprotein translocase, SecA subunit
TIGR00964;secE_bact: preprotein translocase, SecE subunit
TIGR00965;dapD: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR00966;3a0501s07: protein-export membrane protein SecF
TIGR00967;3a0501s007: preprotein translocase, SecY subunit
TIGR00968;3a0106s01: sulfate ABC transporter, ATP-binding protein
TIGR00969;3a0106s02: sulfate ABC transporter, permease protein
TIGR00970;leuA_yeast: 2-isopropylmalate synthase
TIGR00971;3a0106s03: sulfate ABC transporter, sulfate-binding protein
TIGR00972;3a0107s01c2: phosphate ABC transporter, ATP-binding protein
TIGR00973;leuA_bact: 2-isopropylmalate synthase
TIGR00974;3a0107s02c: phosphate ABC transporter, permease protein PstA
TIGR00975;3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
TIGR00976;/NonD: hydrolase CocE/NonD family protein
TIGR00977;LeuA_rel: 2-isopropylmalate synthase/homocitrate synthase family protein
TIGR00978;asd_EA: aspartate-semialdehyde dehydrogenase
TIGR00979;fumC_II: fumarate hydratase, class II
TIGR00980;3a0801so1tim17: mitochondrial import inner membrane translocase subunit tim17
TIGR00981;rpsL_bact: ribosomal protein S12
TIGR00982;S23_S12_E_A: ribosomal protein S23 (S12)
TIGR00983;3a0801s02tim23: mitochondrial import inner membrane translocase subunit
TIGR00984;3a0801s03tim44: mitochondrial import inner membrane, translocase subunit
TIGR00985;3a0801s04tom: mitochondrial import receptor subunit
TIGR00986;3a0801s05tom22: mitochondrial import receptor subunit
TIGR00987;himA: integration host factor, alpha subunit
TIGR00988;hip: integration host factor, beta subunit
TIGR00989;3a0801s07tom40: mitochondrial import receptor subunit
TIGR00990;3a0801s09: mitochondrial precursor proteins import receptor
TIGR00991;3a0901s02IAP34: GTP-binding protein
TIGR00992;3a0901s03IAP75: chloroplast envelope protein translocase, IAP75 family
TIGR00993;3a0901s04IAP86: chloroplast protein import component Toc86/159, G and M domains
TIGR00994;3a0901s05TIC20: chloroplast protein import component, Tic20 family
TIGR00995;3a0901s06TIC22: chloroplast protein import component, Tic22 family
TIGR00996;Mtu_fam_mce: virulence factor Mce family protein
TIGR00997;ispZ: intracellular septation protein A
TIGR00998;8a0101: efflux pump membrane protein
TIGR00999;8a0102: membrane fusion protein cluster 2 protein
TIGR01000;bacteriocin_acc: bacteriocin secretion accessory protein
TIGR01001;metA: homoserine O-succinyltransferase
TIGR01002;hlyII: beta-channel forming cytolysin
TIGR01003;PTS_HPr_family: phosphocarrier, HPr family
TIGR01004;PulS_OutS: lipoprotein, PulS/OutS family
TIGR01005;eps_transp_fam: exopolysaccharide transport protein family
TIGR01006;polys_exp_MPA1: polysaccharide export protein, MPA1 family
TIGR01007;eps_fam: capsular exopolysaccharide family
TIGR01008;rpsC_E_A: ribosomal protein S3
TIGR01009;rpsC_bact: ribosomal protein S3
TIGR01010;BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
TIGR01011;rpsB_bact: ribosomal protein S2
TIGR01012;Sa_S2_E_A: ribosomal protein S2
TIGR01013;2a58: sodium-dependent inorganic phosphate (Pi) transporter
TIGR01015;hmgA: homogentisate 1,2-dioxygenase
TIGR01016;sucCoAbeta: succinate-CoA ligase, beta subunit
TIGR01017;rpsD_bact: ribosomal protein S4
TIGR01018;rpsD_arch: ribosomal protein S4
TIGR01019;sucCoAalpha: succinate-CoA ligase, alpha subunit
TIGR01020;rpsE_arch: ribosomal protein S5
TIGR01021;rpsE_bact: ribosomal protein S5
TIGR01022;rpmJ_bact: ribosomal protein L36
TIGR01023;rpmG_bact: ribosomal protein L33
TIGR01024;rplS_bact: ribosomal protein L19
TIGR01025;rpsS_arch: ribosomal protein S19
TIGR01026;fliI_yscN: ATPase FliI/YscN family
TIGR01027;proB: glutamate 5-kinase
TIGR01028;S7_S5_E_A: ribosomal protein S7
TIGR01029;rpsG_bact: ribosomal protein S7
TIGR01030;rpmH_bact: ribosomal protein L34
TIGR01031;rpmF_bact: ribosomal protein L32
TIGR01032;rplT_bact: ribosomal protein L20
TIGR01033;TIGR01033: DNA-binding regulatory protein, YebC/PmpR family
TIGR01034;metK: methionine adenosyltransferase
TIGR01035;hemA: glutamyl-tRNA reductase
TIGR01036;pyrD_sub2: dihydroorotate dehydrogenase (fumarate)
TIGR01037;pyrD_sub1_fam: dihydroorotate dehydrogenase family protein
TIGR01038;L22_arch: ribosomal protein L22
TIGR01039;atpD: ATP synthase F1, beta subunit
TIGR01040;V-ATPase_V1_B: V-type ATPase, B subunit
TIGR01041;ATP_syn_B_arch: ATP synthase archaeal, B subunit
TIGR01042;V-ATPase_V1_A: V-type ATPase, A subunit
TIGR01043;ATP_syn_A_arch: ATP synthase archaeal, A subunit
TIGR01044;rplV_bact: ribosomal protein L22
TIGR01045;RPE1: rickettsial palindromic element RPE1 domain
TIGR01046;S10_Arc_S20_Euk: ribosomal protein S10
TIGR01047;nspC: carboxynorspermidine decarboxylase
TIGR01048;lysA: diaminopimelate decarboxylase
TIGR01049;rpsJ_bact: ribosomal protein S10
TIGR01050;rpsS_bact: ribosomal protein S19
TIGR01051;topA_bact: DNA topoisomerase I
TIGR01052;top6b: DNA topoisomerase VI, B subunit
TIGR01053;LSD1: zinc finger domain, LSD1 subclass
TIGR01054;rgy: reverse gyrase
TIGR01055;parE_Gneg: DNA topoisomerase IV, B subunit
TIGR01056;topB: DNA topoisomerase III
TIGR01057;topA_arch: DNA topoisomerase I
TIGR01058;parE_Gpos: DNA topoisomerase IV, B subunit
TIGR01059;gyrB: DNA gyrase, B subunit
TIGR01060;eno: phosphopyruvate hydratase
TIGR01061;parC_Gpos: DNA topoisomerase IV, A subunit
TIGR01062;parC_Gneg: DNA topoisomerase IV, A subunit
TIGR01063;gyrA: DNA gyrase, A subunit
TIGR01064;pyruv_kin: pyruvate kinase
TIGR01065;hlyIII: channel protein, hemolysin III family
TIGR01066;rplM_bact: ribosomal protein L13
TIGR01067;rplN_bact: ribosomal protein L14
TIGR01068;thioredoxin: thioredoxin
TIGR01069;mutS2: MutS2 family protein
TIGR01070;mutS1: DNA mismatch repair protein MutS
TIGR01071;rplO_bact: ribosomal protein L15
TIGR01072;murA: UDP-N-acetylglucosamine 1-carboxyvinyltransferase
TIGR01073;pcrA: ATP-dependent DNA helicase PcrA
TIGR01074;rep: ATP-dependent DNA helicase Rep
TIGR01075;uvrD: DNA helicase II
TIGR01076;sortase_fam: sortase
TIGR01077;L13_A_E: ribosomal protein L13
TIGR01078;arcA: arginine deiminase
TIGR01079;rplX_bact: ribosomal protein L24
TIGR01080;rplX_A_E: ribosomal protein L24
TIGR01081;mpl: UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
TIGR01082;murC: UDP-N-acetylmuramate--alanine ligase
TIGR01083;nth: endonuclease III
TIGR01084;mutY: A/G-specific adenine glycosylase
TIGR01085;murE: UDP-N-acetylmuramyl-tripeptide synthetase
TIGR01086;fucA: L-fuculose phosphate aldolase
TIGR01087;murD: UDP-N-acetylmuramoylalanine--D-glutamate ligase
TIGR01088;aroQ: 3-dehydroquinate dehydratase, type II
TIGR01089;fucI: L-fucose isomerase
TIGR01090;apt: adenine phosphoribosyltransferase
TIGR01091;upp: uracil phosphoribosyltransferase
TIGR01092;P5CS: delta l-pyrroline-5-carboxylate synthetase
TIGR01093;aroD: 3-dehydroquinate dehydratase, type I
TIGR01096;3A0103s03R: lysine-arginine-ornithine-binding periplasmic protein
TIGR01097;PhnE: phosphonate ABC transporter, permease protein PhnE
TIGR01098;3A0109s03R: phosphate/phosphite/phosphonate ABC transporters, periplasmic binding protein
TIGR01099;galU: UTP-glucose-1-phosphate uridylyltransferase
TIGR01100;V_ATP_synt_C: V-type ATPase, C subunit
TIGR01101;V_ATP_synt_F: V-type ATPase, F subunit
TIGR01102;yscR: type III secretion apparatus protein, YscR/HrcR family
TIGR01103;fliP: flagellar biosynthetic protein FliP
TIGR01104;V_PPase: V-type H(+)-translocating pyrophosphatase
TIGR01105;galF: regulatory protein GalF
TIGR01106;ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit
TIGR01107;Na_K_ATPase_bet: Na+/K+ ATPase, beta subunit
TIGR01108;oadA: oxaloacetate decarboxylase alpha subunit
TIGR01109;Na_pump_decarbB: sodium ion-translocating decarboxylase, beta subunit
TIGR01110;mdcA: malonate decarboxylase, alpha subunit
TIGR01111;mtrA: tetrahydromethanopterin S-methyltransferase, subunit A
TIGR01112;mtrD: tetrahydromethanopterin S-methyltransferase, subunit D
TIGR01113;mtrE: tetrahydromethanopterin S-methyltransferase, subunit E
TIGR01114;mtrH: N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H
TIGR01115;pufM: photosynthetic reaction center M subunit
TIGR01116;ATPase-IIA1_Ca: calcium-translocating P-type ATPase, SERCA-type
TIGR01117;mmdA: methylmalonyl-CoA decarboxylase alpha subunit
TIGR01118;lacA: galactose-6-phosphate isomerase, LacA subunit
TIGR01119;lacB: galactose-6-phosphate isomerase, LacB subunit
TIGR01120;rpiB: ribose 5-phosphate isomerase B
TIGR01121;D_amino_aminoT: D-amino-acid transaminase
TIGR01122;ilvE_I: branched-chain amino acid aminotransferase
TIGR01123;ilvE_II: branched-chain amino acid aminotransferase
TIGR01124;ilvA_2Cterm: threonine ammonia-lyase, biosynthetic
TIGR01125;TIGR01125: ribosomal protein S12 methylthiotransferase RimO
TIGR01126;pdi_dom: protein disulfide-isomerase domain
TIGR01127;ilvA_1Cterm: threonine ammonia-lyase
TIGR01128;holA: DNA polymerase III, delta subunit
TIGR01129;secD: protein-export membrane protein SecD
TIGR01130;ER_PDI_fam: protein disulfide isomerase
TIGR01131;ATP_synt_6_or_A: ATP synthase F0, A subunit
TIGR01132;pgm: phosphoglucomutase, alpha-D-glucose phosphate-specific
TIGR01133;murG: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
TIGR01134;purF: amidophosphoribosyltransferase
TIGR01135;glmS: glutamine-fructose-6-phosphate transaminase (isomerizing)
TIGR01136;cysKM: cysteine synthase
TIGR01137;cysta_beta: cystathionine beta-synthase
TIGR01138;cysM: cysteine synthase B
TIGR01139;cysK: cysteine synthase A
TIGR01140;L_thr_O3P_dcar: threonine-phosphate decarboxylase
TIGR01141;hisC: histidinol-phosphate transaminase
TIGR01142;purT: phosphoribosylglycinamide formyltransferase 2
TIGR01143;murF: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
TIGR01144;ATP_synt_b: ATP synthase F0, B subunit
TIGR01145;ATP_synt_delta: ATP synthase F1, delta subunit
TIGR01146;ATPsyn_F1gamma: ATP synthase F1, gamma subunit
TIGR01147;V_ATP_synt_G: V-type ATPase, G subunit
TIGR01148;mtrC: tetrahydromethanopterin S-methyltransferase, subunit C
TIGR01149;mtrG: tetrahydromethanopterin S-methyltransferase, subunit G
TIGR01150;puhA: photosynthetic reaction center H subunit
TIGR01151;psbA: photosystem II q(b) protein
TIGR01152;psbD: photosystem II D2 protein (photosystem q(a) protein)
TIGR01153;psbC: photosystem II 44 kDa subunit reaction center protein
TIGR01156;cytb6/f_IV: cytb6/f complex subunit IV
TIGR01157;pufL: photosynthetic reaction center L subunit
TIGR01158;SUI1_rel: putative translation initiation factor SUI1
TIGR01159;DRP1: density-regulated protein DRP1
TIGR01160;SUI1_MOF2: translation initiation factor SUI1
TIGR01161;purK: phosphoribosylaminoimidazole carboxylase, ATPase subunit
TIGR01162;purE: phosphoribosylaminoimidazole carboxylase, catalytic subunit
TIGR01163;rpe: ribulose-phosphate 3-epimerase
TIGR01164;rplP_bact: ribosomal protein L16
TIGR01165;cbiN: cobalt transport protein
TIGR01166;cbiO: cobalt ABC transporter, ATP-binding protein
TIGR01167;LPXTG_anchor: LPXTG cell wall anchor domain
TIGR01168;YSIRK_signal: gram-positive signal peptide, YSIRK family
TIGR01169;rplA_bact: ribosomal protein L1
TIGR01170;rplA_mito: ribosomal protein L1, mitochondrial
TIGR01171;rplB_bact: ribosomal protein L2
TIGR01172;cysE: serine O-acetyltransferase
TIGR01173;glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR01174;ftsA: cell division protein FtsA
TIGR01175;pilM: type IV pilus assembly protein PilM
TIGR01176;fum_red_Fp: fumarate reductase, flavoprotein subunit
TIGR01177;TIGR01177: TIGR01177 family protein
TIGR01178;ade: adenine deaminase
TIGR01179;galE: UDP-glucose 4-epimerase GalE
TIGR01180;aman2_put: putative alpha-1,2-mannosidase
TIGR01181;dTDP_gluc_dehyt: dTDP-glucose 4,6-dehydratase
TIGR01182;eda: 2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase
TIGR01183;ntrB: nitrate ABC transporter, permease protein
TIGR01184;ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
TIGR01185;devC: ABC exporter transmembrane subunit, DevC protein
TIGR01186;proV: glycine betaine/L-proline transport ATP binding subunit
TIGR01187;potA: polyamine ABC transporter, ATP-binding protein
TIGR01188;drrA: daunorubicin resistance ABC transporter, ATP-binding protein
TIGR01189;ccmA: heme ABC exporter, ATP-binding protein CcmA
TIGR01190;ccmB: heme exporter protein CcmB
TIGR01191;ccmC: heme exporter protein CcmC
TIGR01192;chvA: glucan exporter ATP-binding protein
TIGR01193;bacteriocin_ABC: ABC-type bacteriocin transporter
TIGR01194;cyc_pep_trnsptr: cyclic peptide transporter
TIGR01195;oadG_fam: sodium pump decarboxylases, gamma subunit
TIGR01196;edd: phosphogluconate dehydratase
TIGR01197;nramp: metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family
TIGR01198;pgl: 6-phosphogluconolactonase
TIGR01200;GLPGLI: GLPGLI family protein
TIGR01201;HU_rel: putative DNA-binding protein
TIGR01202;bchC: chlorophyll synthesis pathway protein BchC
TIGR01203;HGPRTase: hypoxanthine phosphoribosyltransferase
TIGR01204;bioW: 6-carboxyhexanoate--CoA ligase
TIGR01205;D_ala_D_alaTIGR: D-alanine--D-alanine ligase
TIGR01206;lysW: lysine biosynthesis protein LysW
TIGR01207;rmlA: glucose-1-phosphate thymidylyltransferase
TIGR01208;rmlA_long: glucose-1-phosphate thymidylyltransferase
TIGR01209;TIGR01209: RNA ligase, Pab1020 family
TIGR01210;TIGR01210: TIGR01210 family protein
TIGR01211;ELP3: histone acetyltransferase, ELP3 family
TIGR01212;TIGR01212: radical SAM protein, TIGR01212 family
TIGR01213;pseudo_Pus10arc: tRNA pseudouridine(54/55) synthase
TIGR01214;rmlD: dTDP-4-dehydrorhamnose reductase
TIGR01215;minE: cell division topological specificity factor MinE
TIGR01216;ATP_synt_epsi: ATP synthase F1, epsilon subunit
TIGR01217;ac_ac_CoA_syn: acetoacetate-CoA ligase
TIGR01218;Gpos_tandem_5TM: tandem five-TM protein
TIGR01219;Pmev_kin_ERG8: phosphomevalonate kinase
TIGR01220;Pmev_kin_Gr_pos: phosphomevalonate kinase
TIGR01221;rmlC: dTDP-4-dehydrorhamnose 3,5-epimerase
TIGR01222;minC: septum site-determining protein MinC
TIGR01223;Pmev_kin_anim: phosphomevalonate kinase
TIGR01224;hutI: imidazolonepropionase
TIGR01225;hutH: histidine ammonia-lyase
TIGR01226;phe_am_lyase: phenylalanine ammonia-lyase
TIGR01227;hutG: formimidoylglutamase
TIGR01228;hutU: urocanate hydratase
TIGR01229;rocF_arginase: arginase
TIGR01230;agmatinase: agmatinase
TIGR01231;lacC: tagatose-6-phosphate kinase
TIGR01232;lacD: tagatose 1,6-diphosphate aldolase
TIGR01233;lacG: 6-phospho-beta-galactosidase
TIGR01234;L-ribulokinase: L-ribulokinase
TIGR01235;pyruv_carbox: pyruvate carboxylase
TIGR01236;D1pyr5carbox1: 1-pyrroline-5-carboxylate dehydrogenase
TIGR01237;D1pyr5carbox2: putative delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01238;D1pyr5carbox3: delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01239;galT_2: galactose-1-phosphate uridylyltransferase
TIGR01240;mevDPdecarb: diphosphomevalonate decarboxylase
TIGR01241;FtsH_fam: ATP-dependent metallopeptidase HflB
TIGR01242;26Sp45: 26S proteasome subunit P45 family
TIGR01243;CDC48: AAA family ATPase, CDC48 subfamily
TIGR01244;TIGR01244: TIGR01244 family protein
TIGR01245;trpD: anthranilate phosphoribosyltransferase
TIGR01246;dapE_proteo: succinyl-diaminopimelate desuccinylase
TIGR01247;drrB: daunorubicin resistance ABC transporter membrane protein
TIGR01248;drrC: daunorubicin resistance protein C
TIGR01249;pro_imino_pep_1: prolyl aminopeptidase
TIGR01250;pro_imino_pep_2: proline-specific peptidase
TIGR01251;ribP_PPkin: ribose-phosphate diphosphokinase
TIGR01252;acetolac_decarb: alpha-acetolactate decarboxylase
TIGR01253;thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein
TIGR01254;sfuA: ABC transporter periplasmic binding protein, thiB subfamily
TIGR01255;pyr_form_ly_1: formate acetyltransferase
TIGR01256;modA: molybdate ABC transporter, periplasmic molybdate-binding protein
TIGR01257;rim_protein: rim ABC transporter
TIGR01258;pgm_1: phosphoglycerate mutase 1 family
TIGR01259;comE: comEA protein
TIGR01260;ATP_synt_c: ATP synthase F0, C subunit
TIGR01261;hisB_Nterm: histidinol-phosphatase
TIGR01262;maiA: maleylacetoacetate isomerase
TIGR01263;4HPPD: 4-hydroxyphenylpyruvate dioxygenase
TIGR01264;tyr_amTase_E: tyrosine aminotransferase
TIGR01265;tyr_nico_aTase: tyrosine/nicotianamine family aminotransferase
TIGR01266;fum_ac_acetase: fumarylacetoacetase
TIGR01267;Phe4hydrox_mono: phenylalanine-4-hydroxylase
TIGR01268;Phe4hydrox_tetr: phenylalanine-4-hydroxylase
TIGR01269;Tyr_3_monoox: tyrosine 3-monooxygenase
TIGR01270;Trp_5_monoox: tryptophan 5-monooxygenase
TIGR01271;CFTR_protein: cystic fibrosis transmembrane conductor regulator (CFTR)
TIGR01272;gluP: glucose/galactose transporter WARNING
TIGR01273;speA: arginine decarboxylase
TIGR01274;ACC_deam: 1-aminocyclopropane-1-carboxylate deaminase
TIGR01275;ACC_deam_rel: pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family
TIGR01276;thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
TIGR01277;thiQ: thiamine ABC transporter, ATP-binding protein
TIGR01278;DPOR_BchB: light-independent protochlorophyllide reductase, B subunit
TIGR01279;DPOR_bchN: light-independent protochlorophyllide reductase, N subunit
TIGR01280;xseB: exodeoxyribonuclease VII, small subunit
TIGR01281;DPOR_bchL: light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein
TIGR01282;nifD: nitrogenase molybdenum-iron protein alpha chain
TIGR01283;nifE: nitrogenase MoFe cofactor biosynthesis protein NifE
TIGR01284;alt_nitrog_alph: nitrogenase alpha chain
TIGR01285;nifN: nitrogenase molybdenum-iron cofactor biosynthesis protein NifN
TIGR01286;nifK: nitrogenase molybdenum-iron protein beta chain
TIGR01287;nifH: nitrogenase iron protein
TIGR01288;nodI: nodulation ABC transporter NodI
TIGR01289;LPOR: light-dependent protochlorophyllide reductase
TIGR01290;nifB: nitrogenase cofactor biosynthesis protein NifB
TIGR01291;nodJ: ABC-2 type transporter, NodJ family
TIGR01292;TRX_reduct: thioredoxin-disulfide reductase
TIGR01293;Kv_beta: voltage-dependent potassium channel beta subunit
TIGR01294;P_lamban: phospholamban
TIGR01295;PedC_BrcD: putative bacteriocin transport accessory protein
TIGR01296;asd_B: aspartate-semialdehyde dehydrogenase
TIGR01297;CDF: cation diffusion facilitator family transporter
TIGR01298;RNaseT: ribonuclease T
TIGR01299;synapt_SV2: synaptic vesicle protein SV2
TIGR01300;CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit
TIGR01301;GPH_sucrose: sucrose/H+ symporter
TIGR01302;IMP_dehydrog: inosine-5'-monophosphate dehydrogenase
TIGR01303;IMP_DH_rel_1: IMP dehydrogenase family protein
TIGR01304;IMP_DH_rel_2: IMP dehydrogenase family protein
TIGR01305;GMP_reduct_1: guanosine monophosphate reductase
TIGR01306;GMP_reduct_2: guanosine monophosphate reductase
TIGR01307;pgm_bpd_ind: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase
TIGR01308;rpmD_bact: ribosomal protein L30
TIGR01309;L30P_arch: ribosomal protein L30P
TIGR01310;L7: 60S ribosomal protein L7
TIGR01311;glycerol_kin: glycerol kinase
TIGR01312;XylB: xylulokinase
TIGR01313;therm_gnt_kin: carbohydrate kinase, thermoresistant glucokinase family
TIGR01314;gntK_FGGY: gluconate kinase
TIGR01315;5C_CHO_kinase: FGGY-family pentulose kinase
TIGR01316;gltA: glutamate synthase (NADPH), homotetrameric
TIGR01317;GOGAT_sm_gam: glutamate synthase, NADH/NADPH, small subunit
TIGR01318;gltD_gamma_fam: glutamate synthase, small subunit
TIGR01319;glmL_fam: conserved hypothetical protein
TIGR01320;mal_quin_oxido: malate dehydrogenase (acceptor)
TIGR01321;TrpR: trp operon repressor
TIGR01322;scrB_fam: sucrose-6-phosphate hydrolase
TIGR01323;nitrile_alph: nitrile hydratase, alpha subunit
TIGR01324;cysta_beta_ly_B: cystathionine beta-lyase
TIGR01325;O_suc_HS_sulf: O-succinylhomoserine sulfhydrylase
TIGR01326;OAH_OAS_sulfhy: O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
TIGR01327;PGDH: phosphoglycerate dehydrogenase
TIGR01328;met_gam_lyase: methionine gamma-lyase
TIGR01329;cysta_beta_ly_E: cystathionine beta-lyase
TIGR01330;bisphos_HAL2: 3'(2'),5'-bisphosphate nucleotidase
TIGR01331;bisphos_cysQ: 3'(2'),5'-bisphosphate nucleotidase
TIGR01332;cyt_b559_alpha: cytochrome b559, alpha subunit
TIGR01333;cyt_b559_beta: cytochrome b559, beta subunit
TIGR01334;modD: modD protein
TIGR01335;psaA: photosystem I core protein PsaA
TIGR01336;psaB: photosystem I core protein PsaB
TIGR01337;apcB: allophycocyanin, beta subunit
TIGR01338;phycocy_alpha: phycocyanin, alpha subunit
TIGR01339;phycocy_beta: phycocyanin, beta subunit
TIGR01340;aconitase_mito: aconitate hydratase, mitochondrial
TIGR01341;aconitase_1: aconitate hydratase 1
TIGR01342;acon_putative: putative aconitate hydratase
TIGR01343;hacA_fam: homoaconitate hydratase family protein
TIGR01344;malate_syn_A: malate synthase A
TIGR01345;malate_syn_G: malate synthase G
TIGR01346;isocit_lyase: isocitrate lyase
TIGR01347;sucB: dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex
TIGR01348;PDHac_trf_long: dihydrolipoyllysine-residue acetyltransferase
TIGR01349;PDHac_trf_mito: pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
TIGR01350;lipoamide_DH: dihydrolipoyl dehydrogenase
TIGR01351;adk: adenylate kinase
TIGR01352;tonB_Cterm: TonB family C-terminal domain
TIGR01353;dGTP_triPase: putative dGTPase
